,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,,,,,,
17,4,10,7,4,12,12,5,7,11,12,11,14,7,1,10,,,,,,
18,6,12,10,6,14,9,12,7,4,5,3,12,13,5,14,,,,,,
19,13,8,7,9,14,4,10,4,7,8,11,10,13,5,8,,,,,,
20,12,12,13,4,10,12,12,0,5,2,12,12,0,9,10,,,,,,
21,12,4,13,10,8,7,4,8,13,8,6,4,12,9,13,,,,,,
22,5,13,12,0,4,5,10,11,0,6,5,7,5,0,6,,,,,,
23,10,11,6,8,14,6,8,7,10,14,7,9,4,9,14,,,,,,
24,10,6,9,9,8,5,7,9,9,8,10,4,9,4,13,,,,,,
25,5,9,7,6,6,12,7,6,6,6,6,13,6,6,6,,,,,,
26,7,7,14,12,13,13,4,2,8,5,12,11,10,7,5,,,,,,
27,11,11,13,0,5,11,11,0,0,14,11,11,0,14,7,,,,,,
28,10,10,7,7,9,10,10,4,5,4,10,10,13,14,5,,,,,,
29,12,8,0,9,12,12,11,0,10,12,12,5,0,7,12,,,,,,
30,8,8,8,7,5,8,8,8,13,14,8,8,8,6,14,,,,,,
31,7,5,6,6,12,8,5,12,8,4,9,5,4,13,6,,,,,,
32,4,6,10,13,4,14,6,3,14,4,3,6,13,9,14,,,,,,
33,2,12,4,5,10,13,12,13,14,6,5,12,0,6,6,,,,,,
34,13,4,12,12,11,12,11,12,12,12,12,9,7,12,12,,,,,,
35,12,6,12,14,13,12,9,12,5,4,12,12,12,10,13,,,,,,
36,5,7,6,2,9,14,12,12,12,8,9,6,4,7,9,,,,,,
37,10,0,9,0,11,2,13,7,0,11,9,6,8,0,10,,,,,,
38,8,8,8,1,6,8,8,8,9,6,8,8,8,5,11,,,,,,
39,5,12,12,11,11,8,14,12,6,11,11,4,12,11,4,,,,,,
40,5,13,0,10,13,5,3,12,7,3,5,9,11,6,12,,,,,,
41,6,6,5,6,11,6,6,14,6,4,6,6,3,6,14,,,,,,
42,4,12,4,9,5,4,13,4,5,8,4,10,4,11,5,,,,,,
43,12,3,0,11,5,10,13,0,11,8,7,9,10,11,5,,,,,,
44,7,5,13,13,2,12,6,13,13,11,11,11,7,13,4,,,,,,
45,5,4,1,4,13,14,8,14,7,10,13,14,8,5,5,,,,,,
46,8,9,8,9,4,8,4,8,5,10,8,13,8,11,12,,,,,,
47,8,6,3,6,6,7,6,13,6,6,9,6,7,6,6,,,,,,
48,13,11,7,6,10,14,10,12,8,11,12,14,10,10,2,,,,,,
49,7,6,10,4,11,13,14,10,6,12,4,11,10,8,12,,,,,,
50,6,2,7,4,14,6,12,9,7,8,6,14,5,9,14,,,,,,
51,12,0,10,10,11,12,0,3,9,12,12,11,14,0,12,,,,,,
52,4,10,8,8,5,5,11,10,9,5,12,14,1,12,9,,,,,,
53,11,13,3,13,10,8,13,10,13,10,5,13,7,14,12,,,,,,
54,14,6,11,12,5,6,14,1,14,14,7,11,14,5,7,,,,,,
55,5,5,11,9,5,9,6,12,6,9,14,12,14,8,5,,,,,,
56,14,14,12,0,6,6,4,12,0,6,7,10,12,0,7,,,,,,
57,13,11,11,5,12,12,11,11,4,11,10,11,11,12,11,,,,,,
58,11,12,4,10,7,7,9,14,13,12,4,14,9,5,7,,,,,,
59,8,5,5,4,6,4,13,12,7,6,14,10,7,9,6,,,,,,
60,6,13,13,13,13,7,13,13,14,13,12,13,13,6,13,,,,,,
61,12,6,9,11,12,11,7,9,6,4,7,4,9,13,10,,,,,,
62,11,14,12,9,5,7,12,4,4,5,8,11,12,10,5,,,,,,
63,4,8,7,4,14,13,11,14,6,14,5,12,1,8,5,,,,,,
64,12,9,12,7,14,12,6,12,5,7,12,7,12,14,14,,,,,,
65,8,9,11,12,12,10,9,10,6,11,5,9,9,12,7,,,,,,
66,3,0,0,8,5,12,11,10,14,13,8,7,9,5,7,,,,,,
67,7,13,7,13,13,7,10,7,8,4,7,9,7,5,4,,,,,,
68,8,6,14,10,11,11,9,0,11,11,5,13,0,7,14,,,,,,
69,5,12,8,11,8,13,9,8,7,8,12,0,8,13,8,,,,,,
70,4,11,13,12,11,6,11,4,8,11,7,9,8,7,11,,,,,,
71,6,0,0,14,5,13,0,0,5,9,12,0,0,11,5,,,,,,
72,9,9,13,3,14,9,9,8,11,14,7,9,5,6,5,,,,,,
73,8,14,10,0,12,5,11,8,0,11,9,0,13,14,11,,,,,,
74,7,11,4,11,8,7,14,13,13,14,13,8,12,6,8,,,,,,
75,5,11,8,0,5,8,8,10,0,8,10,9,7,0,8,,,,,,
76,11,11,2,4,13,11,11,13,5,10,13,11,7,11,10,,,,,,
77,13,5,6,4,6,5,13,6,12,6,8,10,6,8,6,,,,,,
78,4,4,8,13,9,4,4,11,6,9,4,4,12,13,7,,,,,,
79,13,2,7,14,14,13,12,12,5,8,13,9,10,10,8,,,,,,
80,13,4,13,8,4,13,14,13,10,4,13,1,13,9,10,,,,,,
81,7,11,7,14,14,7,5,7,4,6,7,10,7,11,14,,,,,,
82,6,0,0,5,12,6,0,10,11,8,6,0,9,3,8,,,,,,
83,6,12,12,12,14,9,12,12,10,8,14,12,12,5,14,,,,,,
84,11,5,8,11,5,4,5,9,4,5,11,5,13,14,5,,,,,,
85,9,5,14,7,9,9,6,3,5,9,9,11,10,4,9,,,,,,
86,3,12,12,12,11,13,12,12,10,11,5,12,12,5,1,,,,,,
87,9,5,11,9,9,4,5,8,4,8,7,5,10,10,14,,,,,,
88,14,14,14,10,14,14,14,14,7,14,14,14,14,5,14,,,,,,
89,7,8,3,10,8,5,11,10,12,8,4,12,7,6,12,,,,,,
90,6,6,6,14,7,6,6,6,11,12,6,6,6,13,7,,,,,,
91,4,0,10,4,7,10,0,4,9,12,5,4,9,6,7,,,,,,
92,13,14,13,10,10,13,6,13,7,6,13,4,13,5,6,,,,,,
93,3,9,9,11,5,13,9,9,6,5,5,9,9,13,4,,,,,,
94,10,13,10,7,9,10,4,10,12,11,10,8,10,4,1,,,,,,
95,12,14,6,0,13,12,4,7,0,7,12,10,11,0,13,,,,,,
96,7,5,2,12,4,5,6,13,13,11,13,11,12,5,11,,,,,,
97,14,14,14,0,5,14,14,14,13,13,14,14,14,9,13,,,,,,
98,10,9,13,13,13,5,13,7,13,13,10,13,14,14,4,,,,,,
99,11,10,10,8,13,11,0,4,4,10,11,0,11,9,5,,,,,,
100,4,3,14,5,8,4,14,11,10,8,4,10,8,7,13,,,,,,
101,7,11,9,9,13,5,0,7,4,7,14,0,13,0,13,,,,,,
102,11,6,8,14,12,11,14,4,6,6,11,12,7,8,9,,,,,,
103,13,11,4,8,13,12,9,4,11,13,7,5,4,10,8,,,,,,
104,12,7,7,11,7,7,7,7,14,7,7,7,7,8,4,,,,,,
105,6,5,7,14,11,13,14,7,4,3,12,7,7,11,10,,,,,,
106,11,7,11,7,11,11,14,11,5,11,11,10,11,14,11,,,,,,
107,6,8,6,14,14,6,4,6,4,8,6,10,6,7,14,,,,,,
108,6,11,7,8,7,13,14,7,5,7,12,8,7,9,7,,,,,,
109,6,14,7,5,14,9,14,9,9,14,1,14,3,7,14,,,,,,
110,8,14,13,5,6,4,13,6,5,14,14,3,12,5,6,,,,,,
111,6,7,4,4,4,10,9,4,4,4,1,12,8,4,4,,,,,,
112,13,11,0,10,4,13,10,11,9,10,13,14,10,0,11,,,,,,
113,14,10,7,9,10,13,14,11,10,6,5,8,10,7,6,,,,,,
114,9,14,6,14,14,8,6,6,5,8,9,6,6,11,8,,,,,,
115,10,14,0,7,4,5,6,11,12,5,10,7,10,14,4,,,,,,
116,14,12,12,12,13,14,9,11,9,8,14,6,4,6,8,,,,,,
117,6,8,13,13,9,9,12,4,9,12,13,5,6,10,7,,,,,,
118,13,9,0,8,9,5,12,0,7,5,8,12,0,11,14,,,,,,
119,5,13,9,10,14,8,4,10,10,8,9,8,10,14,8,,,,,,
120,8,8,6,14,6,8,8,12,7,6,8,12,11,8,11,,,,,,
121,12,9,0,9,10,12,8,0,6,10,14,11,0,8,9,,,,,,
122,7,11,0,4,7,9,14,0,7,11,8,4,0,9,11,,,,,,
123,13,14,10,8,11,13,11,7,10,12,13,0,12,9,12,,,,,,
124,12,5,7,7,6,12,6,13,5,6,12,4,8,14,10,,,,,,
125,12,10,4,13,11,7,9,13,14,14,7,13,12,9,11,,,,,,
126,14,12,12,14,6,7,12,12,5,10,5,12,12,10,10,,,,,,
127,10,6,2,4,11,10,14,9,9,12,10,11,7,7,11,,,,,,
128,13,12,8,4,10,5,12,10,5,10,8,12,7,9,9,,,,,,
129,4,4,0,10,6,4,4,0,6,6,4,4,12,8,13,,,,,,
130,7,7,9,0,5,7,7,10,0,13,7,7,12,13,5,,,,,,
131,12,7,7,7,14,6,7,7,7,14,8,7,7,7,6,,,,,,
132,5,6,11,12,12,14,14,11,6,14,13,12,11,12,4,,,,,,
133,12,14,14,11,6,6,8,3,14,5,8,4,9,8,5,,,,,,
134,13,4,12,14,8,13,8,6,9,4,13,11,7,10,13,,,,,,
135,8,7,12,8,7,4,7,10,5,7,12,7,6,9,7,,,,,,
136,13,9,4,12,6,14,6,13,12,7,7,7,0,12,7,,,,,,
137,3,0,2,14,5,12,11,13,9,12,8,7,7,5,5,,,,,,
138,9,7,6,4,4,4,13,6,7,4,5,4,5,9,14,,,,,,
139,7,10,8,14,2,5,4,8,7,14,13,9,8,8,14,,,,,,
140,5,13,4,0,8,8,4,5,0,12,13,13,12,13,10,,,,,,
141,13,13,9,11,14,12,10,7,1,14,13,0,9,10,8,,,,,,
142,4,6,10,5,4,7,4,7,14,7,6,6,13,9,7,,,,,,
143,8,13,6,10,7,8,12,12,4,12,8,5,11,6,7,,,,,,
144,10,10,9,6,6,13,10,11,13,12,14,10,13,5,6,,,,,,
145,13,14,3,8,13,14,4,14,12,4,7,0,4,12,13,,,,,,
146,4,9,0,8,13,6,6,0,7,10,7,7,10,12,5,,,,,,
147,11,9,4,4,12,7,9,13,14,7,6,9,6,12,7,,,,,,
148,13,4,11,6,9,5,12,10,13,9,6,2,9,5,9,,,,,,
149,13,13,0,5,5,8,10,10,4,11,4,9,9,11,13,,,,,,
150,13,10,10,7,10,14,10,10,12,10,13,10,10,2,10,,,,,,
151,8,12,8,13,11,8,5,8,10,6,8,12,8,4,12,,,,,,
152,13,11,9,0,10,5,10,9,4,10,8,4,9,14,13,,,,,,
153,10,10,10,8,4,10,10,10,9,6,10,10,10,4,6,,,,,,
154,9,6,10,14,10,6,7,10,5,10,7,14,10,9,10,,,,,,
155,8,1,8,7,10,8,11,8,14,10,8,13,8,13,1,,,,,,
156,9,7,0,6,4,4,8,0,8,14,6,14,0,13,4,,,,,,
157,2,9,12,7,4,13,12,7,5,6,5,12,14,14,9,,,,,,
158,10,8,10,7,13,5,9,7,5,7,10,9,13,4,4,,,,,,
159,4,12,8,9,7,6,3,10,9,4,7,13,7,9,8,,,,,,
160,8,12,10,7,7,9,5,10,5,7,5,6,8,14,6,,,,,,
161,5,0,0,6,9,6,12,11,13,9,14,8,10,5,9,,,,,,
162,10,6,10,6,7,10,7,10,8,13,10,14,10,9,7,,,,,,
163,7,6,2,6,11,4,9,9,8,10,4,13,8,11,5,,,,,,
164,9,10,9,10,14,9,4,9,5,5,7,6,9,9,5,,,,,,
165,13,1,5,13,4,12,12,12,14,9,8,14,9,9,9,,,,,,
166,8,4,6,7,7,8,13,11,14,4,8,8,10,13,4,,,,,,
167,4,13,5,14,8,6,8,9,4,8,13,13,10,11,9,,,,,,
168,5,14,6,4,5,4,10,7,9,13,6,4,13,0,10,,,,,,
169,6,7,0,7,13,5,7,0,7,5,9,7,0,7,5,,,,,,
170,9,13,9,7,13,9,14,9,12,7,9,8,9,2,4,,,,,,
171,6,0,10,4,13,4,0,4,6,13,10,0,9,4,13,,,,,,
172,5,11,4,12,11,8,11,7,8,11,4,11,9,7,11,,,,,,
173,10,12,10,14,9,10,4,10,5,14,10,6,10,9,9,,,,,,
174,6,13,13,5,11,9,13,13,13,4,14,13,13,13,4,,,,,,
175,6,13,6,9,13,6,4,6,14,8,6,13,6,0,13,,,,,,
176,5,12,12,12,8,10,14,12,12,14,6,4,12,10,8,,,,,,
177,5,11,9,12,7,8,12,7,8,6,9,4,13,7,7,,,,,,
178,13,10,4,7,11,12,9,14,7,14,6,13,3,13,11,,,,,,
179,8,13,7,7,13,14,11,7,7,4,13,2,4,7,13,,,,,,
180,12,11,6,6,5,6,3,6,6,5,6,12,6,6,9,,,,,,
181,10,11,13,13,10,10,8,0,5,10,10,10,0,4,10,,,,,,
182,11,5,9,4,8,7,6,9,5,4,6,11,9,10,4,,,,,,
183,13,5,10,5,5,12,5,1,5,5,8,14,11,5,5,,,,,,
184,6,6,5,6,6,6,6,13,13,6,6,6,12,4,6,,,,,,
185,9,11,0,6,7,6,14,0,7,7,9,8,10,7,7,,,,,,
186,9,8,8,9,12,9,11,5,4,11,9,12,11,6,7,,,,,,
187,4,14,9,13,13,11,13,11,6,5,7,1,6,8,5,,,,,,
188,8,5,12,7,8,7,5,9,6,8,10,5,0,11,7,,,,,,
189,8,5,11,2,8,4,5,6,12,7,14,5,11,7,8,,,,,,
190,7,9,13,10,5,6,12,6,10,14,12,14,7,10,5,,,,,,
191,4,14,9,6,5,11,13,11,8,5,7,1,6,13,5,,,,,,
192,7,5,6,11,13,5,6,11,7,5,13,12,14,13,5,,,,,,
193,8,8,12,7,5,8,8,11,8,14,8,12,5,8,14,,,,,,
194,6,10,2,0,4,4,10,14,0,5,14,10,5,0,14,,,,,,
195,8,6,13,5,6,7,6,7,11,6,9,6,9,1,6,,,,,,
196,14,11,4,9,6,6,11,12,0,4,7,11,5,0,7,,,,,,
197,4,10,11,12,14,6,8,11,9,14,7,11,11,6,8,,,,,,
198,11,11,11,4,8,13,11,11,12,8,14,11,11,6,12,,,,,,
199,13,8,13,0,13,13,9,13,0,13,13,13,13,14,13,,,,,,
200,5,1,12,13,13,10,13,10,5,7,6,14,11,14,13,,,,,,
201,2,5,1,7,4,12,14,13,7,13,6,7,5,7,5,,,,,,
202,7,13,13,10,6,7,11,12,8,6,7,1,8,12,13,,,,,,
203,13,8,6,14,8,5,9,7,0,4,6,9,13,0,8,,,,,,
204,9,8,5,5,11,7,12,11,10,11,13,5,2,12,12,,,,,,
205,7,12,0,5,6,10,0,0,5,9,1,0,12,5,6,,,,,,
206,12,6,13,7,8,5,7,7,12,12,6,14,14,1,14,,,,,,
207,9,14,9,6,4,9,6,9,8,5,9,7,9,10,4,,,,,,
208,14,12,12,6,4,7,12,12,8,7,5,12,12,12,7,,,,,,
209,7,10,11,14,8,14,2,14,6,8,5,11,4,7,8,,,,,,
210,4,4,6,13,6,6,8,7,5,9,7,14,13,9,6,,,,,,
211,7,4,13,9,10,12,9,13,4,9,11,6,13,14,5,,,,,,
212,11,7,10,11,5,10,7,6,5,5,4,7,11,4,12,,,,,,
213,5,7,0,6,5,5,14,0,11,5,5,13,12,10,5,,,,,,
214,11,11,4,11,8,11,11,12,11,14,11,11,5,14,14,,,,,,
215,12,4,12,9,13,12,11,12,11,5,12,9,12,14,5,,,,,,
216,7,4,7,5,11,7,13,7,4,1,7,10,7,11,10,,,,,,
217,5,4,4,6,6,13,9,14,10,5,12,10,9,2,6,,,,,,
218,14,9,7,14,9,4,14,4,10,9,6,4,13,7,9,,,,,,
219,7,7,7,11,7,13,7,7,13,4,12,7,7,6,4,,,,,,
220,6,12,12,0,14,7,12,12,0,8,13,12,12,0,8,,,,,,
221,6,10,10,12,6,7,10,10,3,6,10,10,10,11,9,,,,,,
222,1,13,14,9,13,10,6,14,6,5,5,13,7,8,13,,,,,,
223,13,5,10,13,4,14,6,8,5,12,13,11,7,4,7,,,,,,
224,6,13,6,10,2,11,3,12,8,11,4,9,4,13,6,,,,,,
225,8,8,9,7,12,4,10,4,7,10,12,5,14,7,10,,,,,,
226,4,6,8,9,9,4,12,12,10,7,4,8,5,13,7,,,,,,
227,9,13,14,10,14,6,4,5,10,8,7,8,9,14,14,,,,,,
228,13,8,4,13,4,4,9,12,6,4,5,14,5,8,5,,,,,,
229,9,14,8,12,6,1,14,10,8,6,10,14,7,7,9,,,,,,
230,7,13,7,12,9,7,10,7,6,12,7,9,7,14,10,,,,,,
231,5,11,14,0,7,13,8,14,13,7,4,9,14,9,4,,,,,,
232,14,3,11,5,9,2,13,13,14,9,13,14,0,7,9,,,,,,
233,14,9,10,8,12,13,8,1,12,12,14,11,14,12,12,,,,,,
234,7,4,5,5,13,8,7,5,5,13,9,12,5,7,3,,,,,,
235,6,8,8,9,8,7,4,7,10,8,14,4,9,13,9,,,,,,
236,6,0,9,14,4,8,11,5,0,8,14,5,9,0,8,,,,,,
237,6,8,5,8,8,6,4,12,14,8,6,10,9,5,13,,,,,,
238,11,14,7,12,8,7,6,13,14,4,6,7,10,6,4,,,,,,
239,11,12,12,12,5,5,12,12,12,5,10,14,12,12,14,,,,,,
240,11,7,8,11,11,11,14,7,14,11,11,10,14,6,11,,,,,,
241,11,11,10,14,11,11,11,4,9,11,11,11,11,4,11,,,,,,
242,14,5,5,14,14,9,5,5,10,14,4,14,5,11,8,,,,,,
243,6,0,4,4,7,9,0,10,9,14,2,12,13,0,8,,,,,,
244,6,6,13,0,11,6,6,12,0,11,6,6,4,0,1,,,,,,
245,11,11,10,6,12,11,11,4,8,14,11,9,11,4,4,,,,,,
246,4,7,7,6,6,8,7,7,9,14,14,7,7,12,14,,,,,,
247,7,7,3,6,13,7,7,9,9,6,7,7,4,12,13,,,,,,
248,8,12,4,10,13,8,10,14,12,13,8,2,9,7,7,,,,,,
249,5,4,12,14,5,6,10,12,9,13,9,14,12,11,4,,,,,,
250,9,4,12,14,13,5,7,11,10,10,5,12,5,11,13,,,,,,
251,7,8,11,9,7,13,11,8,0,14,12,11,7,0,8,,,,,,
252,9,0,4,10,11,6,0,4,0,11,7,13,4,0,14,,,,,,
253,12,13,7,6,6,6,10,7,13,5,8,9,7,14,5,,,,,,
254,14,5,14,10,8,14,6,14,12,13,14,11,14,6,8,,,,,,
255,7,9,9,5,13,9,7,10,8,5,8,13,12,13,5,,,,,,
256,7,9,4,9,8,14,12,4,10,8,11,11,4,11,13,,,,,,
257,7,11,5,0,11,6,11,10,14,11,9,11,1,9,11,,,,,,
258,8,8,8,12,6,8,8,8,13,12,8,8,8,10,4,,,,,,
259,11,8,8,14,8,8,8,8,13,8,8,8,8,10,8,,,,,,
260,5,10,4,4,13,4,4,7,7,13,6,8,9,5,10,,,,,,
261,7,10,4,10,6,4,8,4,13,13,4,13,4,9,13,,,,,,
262,5,10,8,8,11,13,7,8,8,6,2,5,8,8,11,,,,,,
263,13,13,11,12,13,13,13,1,2,13,13,13,14,11,13,,,,,,
264,6,0,8,8,9,7,12,10,10,9,13,8,7,14,9,,,,,,
265,10,10,14,9,12,10,10,5,12,9,10,10,9,6,9,,,,,,
266,13,7,7,8,7,8,13,7,5,7,4,10,7,9,7,,,,,,
267,4,7,13,5,6,12,7,5,9,6,7,7,9,14,12,,,,,,
268,7,7,12,8,4,7,7,0,5,4,7,7,0,9,9,,,,,,
269,11,10,11,9,11,11,4,11,0,11,11,8,11,0,11,,,,,,
270,7,10,8,2,13,4,6,12,12,6,4,7,5,6,13,,,,,,
271,13,0,9,12,7,5,0,9,8,7,6,0,9,7,13,,,,,,
272,9,6,0,6,5,5,7,11,13,8,9,14,9,5,5,,,,,,
273,9,0,12,11,14,1,0,7,6,14,13,11,14,11,4,,,,,,
274,14,14,8,13,13,14,14,14,6,7,14,14,14,8,7,,,,,,
275,7,10,12,5,4,10,10,11,9,5,10,10,2,12,14,,,,,,
276,4,11,6,13,14,14,1,6,8,8,1,12,6,9,14,,,,,,
277,12,12,10,11,12,12,12,8,2,12,12,12,12,13,12,,,,,,
278,11,13,5,0,5,4,10,5,0,5,11,7,5,0,5,,,,,,
279,12,14,12,8,14,12,11,12,12,8,12,2,12,12,8,,,,,,
280,9,11,11,5,6,5,6,8,5,6,5,14,10,5,13,,,,,,
281,5,12,13,8,10,9,14,9,7,10,6,6,8,12,10,,,,,,
282,14,4,14,0,12,9,4,13,9,13,14,4,8,10,13,,,,,,
283,9,9,4,8,4,14,13,4,11,4,9,2,4,10,4,,,,,,
284,5,5,9,6,5,5,5,11,11,5,5,5,6,10,13,,,,,,
285,6,6,4,4,11,10,9,4,9,11,1,13,4,6,10,,,,,,
286,10,10,10,4,8,10,10,10,12,8,10,10,10,14,14,,,,,,
287,4,0,7,14,13,12,11,7,4,5,11,5,4,11,13,,,,,,
288,8,6,6,11,11,13,6,6,2,4,12,6,5,10,14,,,,,,
289,5,4,2,5,5,10,8,13,13,13,6,12,12,9,5,,,,,,
290,11,13,5,12,11,11,9,10,8,11,11,8,1,7,11,,,,,,
291,14,9,9,10,10,13,12,7,10,10,5,14,4,10,10,,,,,,
292,6,13,8,6,7,6,10,10,6,7,6,0,1,13,13,,,,,,
293,1,10,14,0,8,11,7,6,0,8,7,5,11,12,8,,,,,,
294,10,2,9,4,13,10,13,11,9,7,10,4,13,7,13,,,,,,
295,14,14,12,11,9,13,5,9,13,4,8,11,5,6,4,,,,,,
296,7,5,10,14,8,7,10,12,9,8,7,11,0,4,14,,,,,,
297,7,14,7,9,6,7,7,7,6,13,7,7,7,7,6,,,,,,
298,13,13,13,6,14,13,14,13,4,1,13,11,13,5,11,,,,,,
299,2,6,13,12,6,13,10,4,2,9,5,8,8,10,6,,,,,,
300,7,7,7,0,7,7,7,7,13,7,7,7,7,14,7,,,,,,
301,7,5,4,11,14,7,11,14,3,6,7,6,1,10,6,,,,,,
302,11,14,6,14,8,7,14,7,14,8,6,14,4,14,13,,,,,,
303,13,6,6,13,5,12,6,6,14,9,8,6,6,11,9,,,,,,
304,12,4,4,9,5,12,0,4,7,5,12,0,13,11,13,,,,,,
305,10,0,2,6,11,10,0,9,8,5,10,12,7,9,8,,,,,,
306,4,10,0,9,12,11,10,0,4,12,7,10,11,0,10,,,,,,
307,8,8,8,7,4,8,8,8,8,12,8,8,8,8,4,,,,,,
308,7,7,4,7,7,7,7,12,7,7,7,7,10,7,7,,,,,,
309,12,10,12,5,8,12,14,12,10,8,12,8,12,11,13,,,,,,
310,12,7,3,5,11,12,14,10,14,14,12,4,7,9,14,,,,,,
311,10,10,7,0,14,10,10,14,0,9,10,10,13,0,11,,,,,,
312,13,0,12,10,4,12,0,4,0,4,8,13,12,0,9,,,,,,
313,13,8,11,0,14,12,4,8,0,7,7,4,11,0,9,,,,,,
314,11,12,7,12,11,11,1,4,8,11,11,13,12,7,11,,,,,,
315,12,4,12,6,10,12,11,12,4,1,12,9,12,5,10,,,,,,
316,11,8,5,11,9,11,11,10,11,5,11,11,1,14,5,,,,,,
317,12,13,4,5,9,11,12,14,11,9,12,5,6,7,10,,,,,,
318,9,6,9,13,7,4,6,7,14,11,5,6,6,9,13,,,,,,
319,13,6,5,5,4,13,7,11,9,5,13,14,1,7,14,,,,,,
320,11,6,8,4,10,7,12,8,14,10,4,9,8,13,5,,,,,,
321,10,7,14,5,9,2,9,0,9,9,14,12,0,10,7,,,,,,
322,10,4,7,4,11,10,14,13,0,5,10,11,2,0,8,,,,,,
323,7,6,14,9,9,5,13,14,7,5,13,12,14,12,13,,,,,,
324,6,4,12,6,5,13,5,4,6,5,12,13,5,13,12,,,,,,
325,8,4,10,10,13,9,5,9,4,5,4,13,7,12,13,,,,,,
326,13,5,3,13,10,12,5,11,10,10,8,5,8,7,4,,,,,,
327,14,10,10,10,10,7,10,10,10,10,5,10,10,10,10,,,,,,
328,12,12,10,0,6,12,12,7,0,9,12,12,13,14,9,,,,,,
329,14,11,14,12,5,14,10,7,9,13,14,13,13,6,13,,,,,,
330,13,11,9,12,12,12,14,5,11,4,6,8,7,5,12,,,,,,
331,7,10,5,0,12,6,8,10,14,12,9,11,2,9,6,,,,,,
332,5,6,13,14,9,8,14,6,4,9,9,11,7,12,13,,,,,,
333,4,9,8,4,12,13,9,5,14,7,4,9,11,12,7,,,,,,
334,6,9,11,13,14,10,5,7,10,7,9,8,10,6,9,,,,,,
335,14,14,14,10,12,14,14,14,5,12,14,14,14,14,9,,,,,,
336,7,5,10,13,10,7,14,12,8,11,7,7,0,5,10,,,,,,
337,7,5,7,14,6,7,10,7,8,12,7,11,7,5,10,,,,,,
338,5,6,12,10,4,5,13,11,11,9,5,4,5,8,12,,,,,,
339,14,11,10,5,10,6,0,10,10,10,7,0,10,10,10,,,,,,
340,7,8,10,14,10,7,4,12,8,4,7,13,0,5,4,,,,,,
341,5,0,14,4,4,13,0,9,14,12,1,10,11,7,12,,,,,,
342,6,14,6,0,11,6,4,6,0,1,6,5,6,13,10,,,,,,
343,6,9,11,5,9,7,6,10,10,6,12,7,8,4,6,,,,,,
344,2,12,9,14,3,13,1,8,10,11,5,13,7,7,12,,,,,,
345,14,6,14,11,5,5,7,0,7,9,8,9,0,5,7,,,,,,
346,11,10,11,12,8,11,8,11,2,13,11,11,11,10,8,,,,,,
347,4,7,9,13,5,12,13,4,6,11,11,10,14,9,13,,,,,,
348,10,0,10,12,5,10,0,10,4,13,10,12,10,6,11,,,,,,
349,6,8,13,4,9,7,4,7,14,4,12,5,14,5,7,,,,,,
350,12,9,12,0,14,14,8,12,0,4,13,11,12,0,10,,,,,,
351,9,7,11,12,7,3,14,11,8,7,13,10,11,7,6,,,,,,
352,1,13,14,9,14,12,13,12,0,14,6,13,6,0,4,,,,,,
353,13,0,9,3,10,4,0,8,11,10,11,0,9,6,10,,,,,,
354,4,7,2,7,6,12,7,9,7,6,11,7,4,13,13,,,,,,
355,10,4,6,8,11,5,10,6,9,14,4,7,6,12,11,,,,,,
356,13,9,8,5,13,4,9,10,10,5,7,9,7,12,5,,,,,,
357,6,11,11,12,14,7,11,11,6,4,13,11,11,12,10,,,,,,
